NAMA BAHAN,Air (g),Energi (kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),Abu (g),Kalsium (mg),Fosfor (mg),Besi (mg),Natrium (mg),Kalium (mg),Tembaga (mg),Seng (mg) ,Retinol (mcg),B-Kar (mcg),Kar-Total (mcg),Thiamin (mg),Riboflavin (mg),Niasin (mg),Vitamin C,BDD (%)
"Kacang merah /banda, kering",13.0,350,13.9,3.0,66.9,26.3,3.2,84,242,6.8,19.0,1127.0,0.0,42.0,0,137,0.0,0.15,0.76,0.3,0,100.0
"Kacang merah tua, kering",12.3,280,16.7,1.6,63.2,4.6,6.2,209,335,6.4,19.0,1348.5,0.69,2.8,0,0,0.0,0.1,0.08,2.0,6,100.0
"Kacang merah, kering",17.7,314,22.1,1.1,56.2,4.0,2.9,502,429,10.3,11.0,1265.5,0.65,2.6,0,129,0.0,0.4,0.72,2.2,0,100.0
"Kacang merah, segar",57.2,171,11.0,2.2,28.0,2.1,1.7,293,134,3.7,7.0,360.7,0.34,1.4,0,0,10.0,0.15,0.15,1.1,0,100.0
"Kacang mete/biji jambu monyet, segar",4.6,616,16.3,48.4,28.7,0.9,2.0,26,521,3.8,26.0,692.0,4.7,4.1,0,5,0.0,0.64,0.03,0.0,0,69.0
"Kacang panjang, biji, kering",12.2,357,17.3,1.5,68.6,10.6,0.4,163,437,6.9,16.0,1109.4,0.35,2.8,0,218,0.0,0.57,0.98,7.1,2,100.0
Kacang tanah sangan,1.2,560,29.5,43.0,24.1,2.9,2.2,107,366,4.1,34.0,509.8,1.69,2.1,0,0,0.0,0.31,0.3,15.5,0,100.0
Kacang tanah sangan tanpa selaput,2.6,559,26.9,44.2,23.6,2.6,2.7,74,393,1.9,33.0,202.3,520.4,1.7,0,0,0.0,0.3,29.4,8.0,0,100.0
"Kacang tanah, kering",9.6,525,27.9,42.7,17.4,2.4,2.4,316,456,5.7,31.0,466.5,1.55,1.9,0,0,30.0,0.44,0.27,1.4,0,100.0
"Kacang tolo / tunggak, kering",13.5,331,24.4,1.9,56.6,1.6,3.6,481,399,13.9,15.0,7.8,1.03,5.9,0,65,0.0,0.06,0.2,4.3,0,100.0
"Kacang tunis, kering",10.5,351,12.2,1.2,72.9,29.5,3.2,120,220,6.9,1.0,0.0,1.4,2.9,0,0,0.0,0.57,0.13,2.5,0,100.0
"Kacang uci, kering",9.9,358,23.4,2.4,60.6,7.4,3.7,269,264,0.5,13.0,1457.7,0.35,0.0,0,20,0.0,0.1,0.2,2.5,2,100.0
"Kacang urei, kering",12.8,354,12.8,1.8,69.3,26.1,3.3,220,220,5.1,1.0,0.0,0.7,3.1,0,0,0.0,0.55,0.05,3.5,0,0.0
"Kenari banda, kering",13.0,616,13.9,56.2,13.7,0.0,3.2,0,380,1.4,11.0,460.0,1.1,3.2,0,90,0.0,0.83,0.08,0.5,0,100.0
"Kenari, kering",3.0,657,15.0,66.0,13.0,0.0,3.0,92,691,7.7,3.0,505.8,0.97,3.0,0,0,0.0,0.42,0.09,0.5,0,100.0
"Komak polong, segar",74.3,99,3.3,0.1,21.2,10.3,1.1,50,99,13.1,15.0,567.0,0.2,0.6,0,5,0.0,0.13,0.03,0.2,0,100.0
"Koro andong, kering",10.8,356,20.5,4.1,61.6,7.0,3.0,150,272,6.2,18.0,301.8,0.73,2.8,0,0,0.0,0.29,0.02,1.4,1,100.0
"Koro benguk, biji, kering",15.0,332,24.0,3.0,55.0,5.6,3.0,30,200,2.0,42.0,389.2,1.25,8.7,0,0,70.0,0.3,0.12,1.7,0,95.0
"Koro kerupuk, biji, segar",67.2,125,8.3,0.7,22.1,2.2,1.7,17,12,2.7,16.0,150.3,0.48,3.4,0,0,80.0,0.11,0.04,1.1,31,68.0
"Koro loke, biji, segar",88.6,33,2.7,0.2,7.9,3.5,0.6,60,40,2.0,2.0,38.6,0.09,0.4,0,0,40.0,0.1,0.0,0.2,0,95.0
"Koro roay, kering",13.0,344,12.5,2.1,69.4,7.5,3.0,70,103,4.4,18.0,294.3,0.72,2.7,0,0,28.0,0.11,0.21,1.4,1,100.0
"Koro wedus, biji,kering",11.8,338,22.2,1.5,61.0,5.8,3.5,88,395,3.5,43.0,403.8,1.3,9.1,0,0,0.0,0.62,0.12,1.8,0,100.0
"Lamtoro biji, muda,
segar",77.4,85,5.7,0.3,15.4,10.8,1.2,180,53,2.7,35.0,485.7,0.02,1.4,0,0,423.0,0.08,1.15,1.0,15,100.0
"Lamtoro biji, tua,
segar",61.4,148,10.6,0.5,26.2,17.0,1.3,155,59,2.2,28.0,628.5,0.03,2.4,0,0,416.0,0.23,0.49,2.8,20,100.0
"Lamtoro var, gung
tanpa kulit",10.2,367,46.4,5.4,32.5,2.6,4.4,136,441,23.3,65.0,1462.3,0.07,5.6,0,0,18900.0,0.06,1.15,1.0,9,100.0
"Lamtoro var, lokal
dengan kulit",13.5,336,23.8,1.2,59.7,15.4,1.8,867,321,1.5,134.0,1858.9,0.07,5.4,0,0,321.0,0.15,1.34,0.9,16,100.0
"Nangka, biji, segar",57.7,165,4.2,0.1,36.7,1.8,1.3,33,200,1.0,69.0,179.0,0.12,0.2,0,0,0.0,0.2,0.03,1.4,10,75.0
"Saga merah terkupas,
mentah",8.1,449,30.6,25.5,31.9,3.5,3.9,1062,161,14.2,66.0,1496.5,0.07,5.7,0,0,107.0,0.09,1.5,10.9,7,100.0
"Wijen, mentah",5.8,568,19.3,51.1,18.1,3.6,5.8,1125,614,9.5,18.0,303.7,4.16,7.9,0,15,0.0,0.93,0.2,5.7,0,100.0
"Kacang belimbing,
rebus",55.6,204,16.9,8.8,17.5,4.8,1.2,230,180,3.3,43.0,1098.0,3.24,2.3,0,0,0.0,0.2,0.48,0.7,0,100.0
"Kacang bogor, goreng",3.0,479,12.7,23.2,58.9,1.2,2.2,135,184,2.9,0.0,0.0,0.0,0.0,0,0,0.0,0.25,0.45,4.1,0,35.0
"Kacang bogor, rebus",61.2,161,7.7,2.8,27.1,2.0,1.2,56,134,1.4,0.0,0.0,0.0,0.0,0,0,0.0,0.1,0.0,0.0,0,35.0
"Kacang gude, rebus",61.5,147,9.0,0.5,27.5,3.4,1.5,50,175,2.0,14.0,1126.0,0.8,2.7,0,12,0.0,0.1,0.07,13.2,0,100.0
"kacang hijau, rebus",71.3,109,8.7,0.5,18.3,1.5,1.2,95,149,1.5,447.0,657.8,1.4,2.8,0,18,120.0,0.12,0.04,0.4,3,100.0
"Kacang kedelai,goreng",9.6,521,32.2,37.7,22.9,7.6,3.7,296,800,6.5,3492.0,11890.0,26.3,60.0,0,0,20.0,0.4,1.9,19.0,0,100.0
"Kacang kedelai, rebus",56.8,189,20.2,8.2,12.7,1.6,2.1,91,270,3.9,181.0,615.0,1.3,3.7,0,4,15.0,0.2,0.04,0.5,0,100.0
"Kacang merah kering,
rebus",59.6,158,10.3,0.9,28.2,2.6,1.0,160,149,3.7,6.0,311.0,0.27,1.5,0,0,0.0,0.2,0.09,0.8,0,100.0
"Kacang merah segar,
rebus",63.1,144,10.0,1.0,24.7,3.5,1.2,144,150,2.8,6.0,311.0,0.27,1.5,0,0,0.0,0.1,0.08,0.7,0,100.0
"Kacang mete/biji
jambu monyet, goreng",1.0,629,20.4,56.3,19.8,1.1,2.5,502,493,8.0,13.0,641.7,4.7,5.4,0,5,0.0,0.37,0.22,1.8,0,100.0
"Kacang tanah rebus dg
kulit",40.2,360,13.5,31.2,12.8,0.0,2.3,42,177,1.4,32.0,483.0,1.6,2.0,0,0,0.0,0.44,0.13,9.0,5,43.0
"Kacang tanah, goreng",2.5,564,25.5,44.4,25.5,2.8,2.8,106,390,4.1,0.0,0.0,0.0,0.0,0,0,0.0,0.4,0.0,0.0,0,100.0
"Kacang tanah, rebus",62.1,220,10.6,18.0,8.0,1.0,1.3,89,273,1.9,36.0,536.2,1.78,2.2,0,0,0.0,0.1,0.0,0.0,0,100.0
"Kacang tolo, rebus",64.4,138,10.7,1.1,22.6,0.9,1.2,165,172,4.0,13.0,6.7,0.8,6.1,0,0,0.0,0.01,0.17,3.2,0,100.0
Ampas kacang hijau,70.6,96,3.7,0.6,19.1,2.7,0.6,133,150,1.3,0.0,0.0,0.0,0.0,0,0,0.0,0.05,0.0,0.0,0,100.0
"Ampas tahu, mentah",84.1,67,5.0,2.1,8.1,4.1,0.6,460,88,1.0,8.0,184.5,0.17,0.5,0,0,0.0,0.06,0.02,0.1,0,100.0
Ampas tahu kukus,82.5,75,4.1,2.1,10.7,5.1,0.6,203,60,1.3,0.0,0.0,0.0,0.0,0,0,0.0,0.07,0.0,0.0,0,100.0
"Ampas tahu, kering",9.0,414,26.6,18.3,41.3,0.0,5.8,19,29,4.0,45.0,1055.7,0.99,2.8,0,24,0.0,0.2,0.1,0.5,0,100.0
Pepes oncom ampas tahu,80.9,76,5.2,1.8,10.6,2.2,1.5,215,66,12.5,0.0,0.0,0.0,0.0,0,0,268.0,0.11,0.0,0.0,0,100.0
Bungkil biji karet,12.0,333,29.3,3.3,50.0,0.0,29.4,102,660,12.0,0.0,0.0,0.0,0.0,0,0,0.0,0.1,0.0,0.0,0,100.0
Bungkil kacang tanah,14.0,336,37.4,13.0,30.5,0.0,33.1,730,470,30.7,0.0,0.0,0.0,0.0,0,0,0.0,0.04,0.0,0.0,0,100.0
Bungkil kelapa,16.0,368,23.0,15.0,40.0,0.0,38.0,137,433,41.5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.46,8.9,0,100.0
Dodol banjarmasin,17.3,368,2.6,8.6,70.0,0.5,1.5,51,180,3.3,48.0,96.0,0.4,2.6,0,0,0.0,0.04,0.07,2.3,0,100.0
Emping (kerupuk melinjo),13.0,345,12.0,1.5,71.5,0.0,28.0,100,400,5.0,0.0,0.0,0.0,0.0,0,0,0.0,0.2,0.0,0.0,0,100.0
Emping komak,14.2,355,17.8,4.6,60.7,0.0,2.7,87,304,4.3,24.0,1233.0,1.0,2.3,0,0,0.0,0.0,0.0,0.6,0,100.0
Enting-enting gepuk hello kity,2.4,538,13.6,30.3,52.6,0.2,1.0,81,248,1.6,0.0,0.0,0.0,0.0,0,0,202.0,1.0,0.0,0.0,0,100.0
Enting-enting gepuk kacang tanah,4.2,524,13.3,29.2,52.0,0.2,1.4,76,248,1.4,0.0,0.0,0.0,0.0,0,0,272.0,0.62,0.0,0.0,0,100.0
Enting-enting wijen,3.7,565,18.2,38.4,36.8,1.9,3.0,251,502,10.9,0.0,0.0,0.0,0.0,0,0,240.0,0.92,0.0,0.0,0,100.0
Geplak,29.6,350,1.4,14.4,53.6,1.8,1.0,151,43,2.1,0.0,0.0,0.0,0.0,0,0,120.0,0.12,0.02,0.8,0,100.0
Geplak jahe,12.4,462,3.1,24.4,57.7,3.3,2.5,212,161,6.6,0.0,0.0,0.0,0.0,0,0,272.0,0.12,0.0,0.1,0,100.0
Kacang atom,3.1,533,27.8,38.1,28.8,2.5,2.2,87,423,3.0,0.0,0.0,0.0,0.0,0,0,0.0,0.06,0.0,0.0,0,100.0
Kacang goyang,8.3,516,14.7,31.1,44.4,0.0,1.5,34,230,0.7,2.0,365.0,0.6,1.7,0,0,0.0,0.0,0.0,0.0,0,100.0
Kacang negara,3.1,480,18.4,19.1,58.5,11.7,0.9,34,404,10.3,1010.0,385.0,2.5,7.1,0,0,0.0,0.63,0.05,2.6,0,100.0
Kacang sukro,4.7,484,8.8,26.1,57.7,1.8,2.7,49,194,2.5,0.0,0.0,0.0,0.0,0,0,0.0,0.06,0.0,0.0,0,100.0
Kacang tanah sari,2.1,561,25.5,43.8,26.0,2.2,2.6,50,324,3.1,0.0,0.0,0.0,0.0,0,0,0.0,0.08,0.0,0.0,0,100.0
Keju kacang tanah (peanut butter),3.0,590,27.0,49.0,20.9,1.6,0.1,60,360,2.0,355.0,492.4,0.57,2.7,0,0,0.0,0.3,0.2,16.2,0,100.0
Kembang tahu,10.8,380,48.9,13.8,23.3,0.0,3.2,378,781,2.1,55.0,455.3,0.68,4.2,0,0,0.0,0.15,0.08,0.7,0,100.0
Kembang tahu rebus,79.8,90,10.7,4.0,4.7,0.0,0.8,85,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,100.0
Keripik oncom,3.0,598,8.3,43.8,42.6,3.3,2.2,85,153,27.0,0.0,0.0,0.0,0.0,0,0,1608.0,1.13,0.0,0.0,0,100.0
Keripik tempe,3.3,581,12.1,40.6,41.7,2.2,2.3,237,116,6.9,0.0,0.0,0.0,0.0,0,0,320.0,0.35,0.0,0.0,0,100.0
Keripik tempe abadi besar,4.5,556,15.8,37.1,39.8,3.5,2.8,112,215,5.4,0.0,0.0,0.0,0.0,0,0,0.0,0.63,0.0,0.0,0,100.0
Keripik tempe abadi murni,3.2,542,40.3,42.4,11.6,2.2,2.7,175,529,5.2,0.0,0.0,0.0,0.0,0,0,50.0,0.1,0.0,0.0,0,100.0
Keripik tempe abadi sedang,4.4,510,12.3,27.9,52.4,3.6,3.1,122,211,8.4,0.0,0.0,0.0,0.0,0,0,0.0,0.52,0.0,0.0,0,100.0
Keripik tempe abadi telur,4.5,529,20.8,31.7,40.2,3.0,2.9,124,222,5.4,0.0,0.0,0.0,0.0,0,0,0.0,0.86,0.0,0.0,0,100.0
Kerupik tempe abadi prima,4.8,540,16.7,33.9,42.0,2.2,2.6,92,184,3.2,0.0,0.0,0.0,0.0,0,0,1080.0,0.38,0.0,0.0,0,100.0
Kwaci,9.9,515,30.6,42.1,13.8,13.6,3.7,54,312,6.2,124.0,448.6,0.65,9.7,0,0,0.0,0.02,0.19,0.3,0,35.0
Melinjo emping tebal goreng manis,5.6,439,10.0,16.4,65.7,0.0,2.3,66,225,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.1,0.0,0.0,0,100.0
"Melinjo emping tebal, goreng asin",8.0,431,11.1,16.2,63.0,0.0,1.6,77,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.08,0.0,0.0,0,100.0
Melinjo emping tipis goreng,3.3,485,11.5,24.5,59.1,0.0,1.5,85,218,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.11,0.0,0.0,0,100.0
Moon tahu,79.9,128,8.0,10.0,1.3,0.2,0.8,205,92,2.5,393.0,0.0,0.0,0.0,131,0,5300.0,0.46,0.0,0.0,0,100.0
Oncom,57.0,187,13.0,6.0,22.6,0.0,1.4,96,115,27.0,0.0,0.0,0.0,0.0,0,0,0.0,0.09,0.0,1.6,0,100.0
Oncom ampas kacang hijau,13.4,376,14.9,6.0,65.7,12.3,1.7,199,110,10.9,0.0,0.0,0.0,0.0,0,0,0.0,0.03,0.0,0.0,0,100.0
Oncom kacang hijau + singkong,16.5,351,11.0,5.3,65.9,9.0,1.3,164,113,7.8,0.0,0.0,0.0,0.0,0,0,0.0,0.01,0.0,0.0,0,100.0
Oncom kacang tanah pepes,65.0,132,12.7,3.8,13.7,3.1,4.8,133,355,34.4,0.0,0.0,0.0,0.0,0,0,10.0,0.08,0.2,0.7,0,100.0
Rempeyek kacang tanah,3.9,513,17.5,32.5,44.3,1.7,1.8,65,202,2.6,0.0,0.0,0.0,0.0,0,0,0.0,0.1,0.0,0.0,0,100.0
Rempeyek kacang tolo,6.1,451,11.2,20.2,59.7,1.8,2.8,156,221,4.6,0.0,0.0,0.0,0.0,0,0,0.0,0.02,0.0,0.0,0,100.0
Rempeyek kacang uci,4.0,497,17.0,27.6,50.8,2.4,3.4,166,89,6.7,0.0,0.0,0.0,0.0,0,0,0.0,0.05,0.0,0.0,0,100.0
Sayur lebui,83.9,64,2.1,0.6,12.5,5.7,0.9,21,2,1.0,124.0,146.0,0.2,0.7,0,14,0.0,0.0,0.0,0.1,0,100.0
"Saridele, bubuk",3.0,344,30.0,20.0,43.0,6.2,4.0,450,500,4.0,56.0,2572.3,2.99,4.0,0,0,2000.0,0.7,0.16,2.0,10,100.0
Susu kedelai,87.0,41,3.5,2.5,5.0,0.2,2.0,50,45,0.7,128.0,287.9,0.12,1.0,0,0,200.0,0.08,0.05,0.7,2,100.0
"Tahu, mentah",82.2,80,10.9,4.7,0.8,0.1,1.4,223,183,3.4,2.0,50.6,0.19,0.8,0,118,0.0,0.01,0.08,0.1,0,100.0
Tahu goreng,77.3,115,9.7,8.5,2.5,0.1,2.0,229,200,4.1,7.0,68.2,0.09,1.3,0,0,0.0,0.01,0.24,0.0,0,100.0
Tahu telur,41.8,328,12.6,19.9,24.6,0.4,1.1,492,238,4.9,755.0,0.0,0.0,0.0,73,0,1860.0,0.42,0.0,0.0,0,100.0
Takwa,72.2,148,13.8,8.5,4.0,0.0,1.6,140,214,8.5,3.0,79.0,0.3,1.3,0,0,920.0,0.2,0.1,0.8,0,100.0
Tauco,54.0,184,11.4,5.5,22.2,1.9,6.9,72,463,6.0,1766.0,233.0,0.39,1.0,0,0,664.0,0.32,0.2,0.8,0,100.0
"Tauco cap beruang, cake",11.4,347,7.4,5.2,67.6,3.2,8.4,63,106,6.2,0.0,0.0,0.0,0.0,0,0,936.0,0.35,0.0,0.0,0,100.0
"Tauco cap DAS, cake",10.2,358,7.5,4.3,70.4,3.1,7.6,94,94,4.5,0.0,0.0,0.0,0.0,0,0,504.0,0.29,0.0,0.0,0,100.0
Tauco cap meong,59.7,159,7.4,4.9,21.3,1.6,6.7,183,84,10.1,1547.0,204.1,0.34,0.9,0,0,472.0,0.46,0.18,0.7,0,100.0
Tauji cap singa,30.4,277,9.1,4.7,49.6,1.2,6.2,68,106,3.0,0.0,0.0,0.0,0.0,0,0,936.0,0.15,0.0,0.0,0,100.0
Tempe bongkrek,72.5,119,4.4,3.5,18.3,0.0,146.0,27,100,2.6,0.0,0.0,0.0,0.0,0,0,0.0,0.08,0.0,0.0,0,100.0
Tempe gembus P3G,81.9,73,5.7,1.3,10.3,4.2,0.8,204,80,1.5,0.0,0.0,0.0,0.0,0,0,22.0,0.09,0.1,0.9,0,100.0
Tempe gembus yogya,80.7,76,6.8,0.7,10.6,5.3,1.1,76,142,16.5,0.0,0.0,0.0,0.0,0,0,0.0,0.79,0.01,0.1,0,100.0
Tempe kacang babi,64.0,139,12.5,0.8,21.9,1.8,1.2,68,182,2.6,0.0,0.0,0.0,0.0,0,0,20.0,0.1,0.0,0.0,0,100.0
Tempe kacang belimbing,58.2,212,17.5,10.0,12.9,2.9,1.4,186,160,2.2,0.0,0.0,0.0,0.0,0,0,0.0,0.2,0.0,0.0,0,100.0
Tempe kedelai + jagung,70.6,143,12.0,5.5,11.4,1.9,0.6,155,156,6.8,0.0,0.0,0.0,0.0,0,0,1320.0,0.33,0.15,1.2,0,100.0
"Tempe kedelai murni, goreng",36.8,350,24.5,26.6,10.4,4.2,1.8,202,296,4.9,22.0,626.7,0.8,2.5,0,0,78.0,0.24,0.6,3.3,0,100.0
"Tempe kedelai murni, mentah",55.3,201,20.8,8.8,13.5,1.4,1.6,155,326,4.0,9.0,234.0,0.57,1.7,0,0,0.0,0.19,0.59,4.9,0,100.0
Tempe koro benguk,64.0,141,10.2,1.3,23.2,0.0,1.3,42,15,2.6,0.0,0.0,0.0,0.0,0,0,0.0,0.09,0.0,0.0,0,100.0
Tempe lamtoro,66.8,128,10.7,0.5,21.3,7.1,0.7,203,108,0.6,0.0,0.0,0.0,0.0,0,0,121.0,0.17,0.0,0.0,2,100.0
"Tempe lamtoro var, gung dengan kulit",65.1,146,11.7,2.3,19.6,7.6,1.3,128,41,6.8,0.0,0.0,0.0,0.0,0,0,1370.0,0.19,0.0,1.4,0,100.0
"Tempe lamtoro var, gung tanpa kulit",67.1,131,18.0,0.8,13.0,1.3,1.1,95,154,12.4,0.0,0.0,0.0,0.0,0,0,5900.0,0.2,0.02,2.6,0,100.0
Tempe pasar,68.3,150,14.0,7.7,9.1,1.4,0.9,517,202,1.5,7.0,165.9,0.4,1.2,0,0,0.0,0.17,0.44,3.6,0,100.0
Tempe pasar goreng,42.9,336,20.0,28.0,7.8,3.4,1.3,156,350,3.0,20.0,566.2,0.8,2.2,0,0,10.0,0.1,0.5,3.0,0,100.0
"Tepung hunkwe (pati
kacang ijo)",10.0,364,4.5,1.0,83.5,16.1,1.0,50,100,1.0,15.0,1232.9,0.93,2.7,0,0,0.0,0.0,0.23,2.2,0,100.0
Tepung Jalejo,10.0,388,19.0,7.5,61.2,5.8,2.3,101,663,2.0,3.0,712.0,0.6,1.9,0,100,0.0,0.02,0.7,1.6,9,100.0
Tepung kacang kedelai,9.0,347,35.9,20.6,29.9,5.8,4.0,195,544,8.4,52.0,2522.6,4303.0,2.6,0,0,140.0,0.77,0.32,2.1,0,100.0
"Akar tonjong, segar",86.7,45,1.1,0.4,10.8,1.2,1.0,72,125,1.3,96.0,1147.1,0.02,0.2,0,83,90.0,0.02,0.03,1.9,2,100.0
"Ale,toge, segar",90.6,37,4.4,0.5,3.8,1.7,0.7,50,248,2.0,2.0,105.0,0.16,0.4,0,0,35.0,0.02,0.09,0.6,46,90.0
"Andaliman, segar",74.2,99,4.6,1.0,18.0,8.5,2.2,383,107,2.9,0.0,0.0,0.0,0.0,0,0,6300.0,3.0,0.0,0.0,15,100.0
"Andewi, segar",91.8,226,1.6,0.2,5.3,4.1,1.1,33,66,1.0,29.0,414.6,0.13,1.0,0,1717,0.0,0.14,0.09,0.5,10,80.0
"Bakung, segar",92.5,27,2.0,0.2,4.2,3.8,1.1,19,20,0.5,37.0,340.0,0.2,0.3,0,1080,0.0,0.2,0.1,0.3,42,100.0
"Baligo, segar",96.1,15,0.4,0.2,3.0,0.4,0.3,19,19,0.4,2.0,131.1,0.02,0.6,0,0,0.0,0.04,0.02,0.3,13,69.0
"Bawang bombay,
segar",87.5,43,1.4,0.2,10.3,2.0,0.6,32,44,0.5,12.0,9.6,0.1,0.3,0,788,50.0,0.03,0.21,0.4,9,94.0
"Bayam, segar",94.5,16,0.9,0.4,2.9,0.7,1.3,166,76,3.5,16.0,456.4,0.13,0.4,0,2699,2293.0,0.04,0.1,1.0,41,71.0
"Bayam merah, segar",88.5,41,2.2,0.8,6.3,2.2,2.2,520,80,7.0,20.0,60.0,0.2,0.8,0,7325,0.0,0.2,0.1,0.1,62,71.0
"Bit, segar",87.6,41,1.6,0.1,9.6,2.6,1.1,27,43,1.0,29.0,404.9,0.2,0.7,0,0,20.0,0.02,0.05,0.3,10,75.0
Buah kelor,89.5,38,1.5,0.2,7.5,3.2,1.3,30,54,0.0,48.0,216.0,0.0,0.2,0,31,0.0,0.1,0.1,4.1,25,65.0
Buah merah,81.2,87,2.6,2.7,13.1,4.0,0.4,30,1,1.1,110.0,140.0,0.1,0.3,0,0,0.0,1.5,0.1,0.2,15,100.0
"Buncis, segar",89.6,34,2.4,0.3,7.2,1.9,0.5,101,42,0.7,8.0,250.0,0.07,0.3,0,772,550.0,0.05,0.4,2.8,11,90.0
"Bunga pepaya, segar",87.3,45,2.6,0.3,8.1,1.6,1.7,290,113,4.2,2.0,478.3,0.08,0.8,0,2792,5.0,0.01,0.28,1.0,23,100.0
"Bunga turi, segar",90.4,42,2.0,1.1,6.1,3.3,0.4,28,23,0.8,29.0,97.4,0.1,0.6,0,1200,0.0,0.5,0.02,0.4,1,96.1
"Caisin, segar",93.6,20,1.7,0.4,3.4,1.2,0.9,123,40,1.9,18.0,358.2,0.05,1.4,0,1675,4188.0,0.04,0.19,0.6,3,100.0
"Daun bangun-bangun,
segar",92.5,27,1.3,0.6,4.0,1.0,1.6,279,40,13.6,4.0,144.0,0.0,0.0,0,1489,13288.0,0.16,0.1,0.0,5,66.0
"Daun bawang merah,
segar",89.1,41,2.0,0.3,7.8,2.1,0.8,60,40,2.3,30.0,90.0,0.1,0.3,0,218,0.0,0.1,0.1,0.2,11,67.0
"Daun bebuas, segar",87.9,41,2.7,1.0,7.3,2.1,1.1,29,245,1.5,0.0,0.0,0.0,0.0,0,0,3099.0,0.01,0.0,0.0,3,49.0
"Daun belem, segar",84.6,50,4.4,1.4,7.8,1.9,1.8,698,151,7.5,0.0,0.0,0.0,0.0,0,0,13072.0,0.05,0.0,0.0,21,81.0
"Daun bluntas, segar",86.0,44,1.8,0.5,9.4,0.0,2.3,256,49,5.6,0.0,0.0,0.0,0.0,0,0,3980.0,0.02,0.0,0.0,30,65.0
"Daun gandaria, segar",81.0,63,3.1,0.3,14.0,2.1,1.6,40,45,4.7,3.0,127.7,0.0,0.0,0,503,600.0,0.04,0.04,0.2,61,65.0
"Daun gedi besar, segar",84.0,58,2.9,0.7,10.0,3.3,2.4,440,100,1.9,30.0,40.0,0.2,2.1,0,596,0.0,0.4,0.5,2.8,11,65.0
"Daun gedi kecil, segar",83.7,61,3.2,0.7,10.4,3.4,2.0,420,70,1.7,20.0,50.0,0.1,1.4,0,607,0.0,0.4,0.3,2.9,11,65.0
"Daun gelang, segar",90.3,30,1.3,0.7,5.8,1.3,1.9,350,210,11.9,5.0,333.3,0.31,1.2,0,4701,1954.0,0.01,0.14,0.7,1,52.0
"Daun gunda bali, segar",86.4,50,4.6,0.9,7.0,1.4,1.1,167,62,0.5,0.0,0.0,0.0,0.0,0,0,6571.0,0.05,0.0,0.0,20,49.0
"Daun gunda serang, segar",84.6,62,4.2,0.9,9.2,1.3,1.1,171,64,0.6,0.0,0.0,0.0,0.0,0,0,7347.0,0.02,0.0,0.0,20,47.0
"Daun jambu mete muda, segar",78.0,78,4.6,0.5,16.2,3.0,0.7,33,64,8.9,14.0,670.5,0.0,0.0,0,4484,2689.0,0.02,1.12,1.1,65,65.0
"Daun jampang, segar",88.9,34,3.8,0.5,5.3,1.4,1.5,21,245,1.0,0.0,0.0,0.0,0.0,0,0,4357.0,0.03,0.0,0.0,3,47.0
"Daun jawaw seluang, segar",77.2,93,5.0,1.3,15.3,3.9,1.2,146,103,5.3,2.0,434.0,0.5,1.5,0,0,0.0,0.1,0.7,0.0,9,0.0
"Daun jonghe, segar",91.4,27,2.1,0.7,4.4,2.0,1.4,253,192,9.5,0.0,0.0,0.0,0.0,0,0,5057.0,0.01,0.0,0.0,1,45.0
"Daun kacang ma, segar",89.1,36,2.9,0.6,6.8,1.8,0.6,64,220,2.2,7.0,485.3,0.2,0.3,0,2893,4377.0,0.04,0.18,1.2,4,33.0
"Daun kacang panjang, segar",89.7,30,3.1,0.3,5.8,1.7,1.1,200,66,4.5,7.0,458.6,0.2,0.3,0,2734,4592.0,0.33,0.2,1.1,30,65.0
"Daun kasbi/singkong karet, segar",80.3,92,4.0,3.6,10.9,5.8,1.2,140,70,1.6,70.0,90.0,0.3,1.1,0,9999,0.0,0.1,0.2,0.1,74,87.0
"Daun katuk, segar",81.0,59,6.4,1.0,9.9,1.5,1.7,233,98,3.5,21.0,478.8,0.3,1.3,0,9152,10020.0,0.0,0.31,2.3,16,40.0
"Daun kecipir, segar",85.0,52,5.0,0.5,8.5,0.0,1.0,134,81,6.2,6.0,114.0,0.3,0.8,0,3981,5240.0,0.28,0.4,2.2,29,70.0
"Daun kedondong, segar",81.0,59,3.5,0.3,13.4,10.7,1.8,540,82,6.2,12.0,579.0,0.0,0.0,0,1624,2900.0,0.06,0.2,1.5,29,65.0
"Daun kelor, segar",75.5,92,5.1,1.6,14.3,8.2,3.5,1077,76,6.0,61.0,298.0,0.1,0.6,0,3266,0.0,0.3,0.1,4.2,22,65.0
"Daun kemang, segar",85.0,43,5.5,0.3,7.5,8.4,1.7,35,106,1.0,10.0,457.1,0.0,0.0,0,1282,1017.0,0.06,0.1,1.2,30,65.0
"Daun kenikir, segar",87.6,45,3.7,0.5,6.6,5.8,1.7,328,65,2.7,6.0,431.0,0.1,0.6,0,30200,12.0,0.5,0.3,4.5,0,36.3
